Stress Level,Mood Rating,Sleep Quality,Energy Level,Work Hours Per Day,Job Satisfaction,Workload Intensity,Break Frequency,Overtime Frequency,Role Clarity,Autonomy in Work
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,Low,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Positive,Poor,High,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Negative,Good,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,Low,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Positive,Poor,High,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Negative,Good,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,Low,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Positive,Poor,High,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Negative,Good,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,Low,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Positive,Poor,High,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Negative,Good,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,Low,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Positive,Poor,High,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Negative,Good,Low,Overworking,Dissatisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,Occasional,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Low
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,Moderate
Moderate,Negative,Poor,Low,Normal,Neutral,Moderate,Low Balance,None,Clear,High
High,Positive,Average,Moderate,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Neutral,Average,Moderate,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
