Stress Level,Mood Rating,Sleep Quality,Energy Level,Work Hours Per Day,Job Satisfaction,Workload Intensity,Break Frequency,Overtime Frequency,Role Clarity,Autonomy in Work
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Neutral,Poor,Low,Overworking,Dissatisfied,High,Balanced,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Neutral,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,Moderate,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Negative,Good,Low,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Negative,Average,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,Low,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Normal,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Negative,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Moderate,Positive,Good,Low,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,Low,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
High,Positive,Poor,Moderate,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Negative,Average,Moderate,Extended,Neutral,Moderate,Moderately Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Positive,Good,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Positive,Good,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Positive,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Moderately Balanced,Occasional,Very Clear,High
Moderate,Negative,Good,High,Normal,Neutral,Low,Balanced,Occasional,Very Clear,Moderate
Low,Positive,Poor,Moderate,Low,Very Satisfied,Moderate,Moderately Balanced,None,Somewhat Clear,High
High,Negative,Average,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Extended,Very Satisfied,Moderate,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
High,Negative,Poor,Low,Overworking,Neutral,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Good,High,Extended,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Moderate,Positive,Poor,Low,Overworking,Neutral,Moderate,Low Balance,Occasional,Unclear,Low
Low,Negative,Average,High,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Moderate,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Overworking,Neutral,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Moderate,Positive,Poor,Low,Overworking,Neutral,Moderate,Low Balance,Occasional,Unclear,Low
Low,Negative,Average,High,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Moderate,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Overworking,Neutral,High,Low Balance,Frequent,Unclear,Low
Low,Positive,Average,High,Low,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Poor,Low,Overworking,Neutral,Moderate,Low Balance,Frequent,Unclear,Low
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Poor,Low,Overworking,Very Satisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Poor,Low,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Overworking,Very Satisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Poor,Low,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Positive,Poor,Low,Overworking,Very Satisfied,Moderate,Low Balance,Frequent,Unclear,Low
Moderate,Negative,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Positive,Average,High,Low,Neutral,Low,Balanced,None,Very Clear,High
High,Negative,Good,Moderate,Normal,Dissatisfied,Low,Balanced,None,Somewhat Clear,Moderate
Moderate,Positive,Poor,Low,Extended,Neutral,High,Low Balance,Frequent,Unclear,Low
Low,Negative,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Low,Neutral,Low,Balanced,None,Very Clear,High
Moderate,Positive,Average,High,Extended,Very Satisfied,Low,Balanced,Frequent,Unclear,Low
Low,Negative,Poor,Low,Overworking,Neutral,Low,Balanced,Occasional,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Moderate,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
Moderate,Positive,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Negative,Poor,Low,Overworking,Neutral,Low,Balanced,Occasional,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Moderate,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
Moderate,Positive,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Negative,Poor,Low,Overworking,Neutral,Low,Balanced,Occasional,Very Clear,High
High,Positive,Good,Moderate,Normal,Dissatisfied,Moderate,Balanced,None,Somewhat Clear,Moderate
Low,Negative,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,Moderate,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
Moderate,Positive,Average,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Negative,Poor,Low,Overworking,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Negative,Poor,Low,Extended,Neutral,High,Low Balance,Frequent,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Very Clear,Low
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Moderate,Neutral,Average,Moderate,Normal,Neutral,Moderate,Balanced,Occasional,Somewhat Clear,Moderate
Low,Negative,Poor,Low,Extended,Neutral,Low,Balanced,Frequent,Very Clear,High
High,Positive,Good,High,Overworking,Dissatisfied,Low,Balanced,Occasional,Somewhat Clear,Moderate
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Negative,Average,Moderate,Normal,Neutral,Low,Balanced,Occasional,Very Clear,High
Moderate,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Somewhat Clear,Moderate
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
High,Positive,Poor,Low,Overworking,Dissatisfied,High,Balanced,Constant,Unclear,Low
Low,Positive,Good,High,Normal,Very Satisfied,Low,Balanced,None,Very Clear,High
Moderate,Negative,Average,Moderate,Extended,Neutral,Moderate,Low Balance,Frequent,Somewhat Clear,Moderate
